AcresBurned,Counties,Latitude,Longitude,Date
26.0,Placer,38.9361,-121.1548,2015-07-22
25.0,San Diego,32.682547,-116.51683999999999,2015-07-24
25.0,San Benito,36.8727,-121.5681,2015-07-20
25.0,San Diego,33.21407,-116.73472,2015-07-16
25.0,El Dorado,0.0,0.0,2015-07-02
25.0,Mariposa,0.0,0.0,2015-06-07
25.0,Lake,0.0,0.0,2015-06-05
25.0,Riverside,0.0,0.0,2015-06-05
24.0,Siskiyou,41.999340999999994,-121.891226,2015-07-21
23.0,Mendocino,39.0263,-123.303,2015-07-04
22.0,Lake,38.831478000000004,-122.53428000000001,2015-08-24
21.0,Santa Barbara,34.4828,-119.63216000000001,2015-10-29
21.0,Riverside,33.986204,-117.43942,2015-07-12
20.0,Humboldt,41.1513,-123.8292,2015-06-10
19.0,Napa,38.519132,-122.181878,2015-06-27
18.0,Shasta,40.5953,-122.4397,2015-07-07
16.0,Humboldt,40.1093,-123.774,2015-07-28
0.0,Trinity,0.0,0.0,2015-07-30
0.0,Alpine,38.598056,-119.751944,2015-06-19
132127.0,Monterey,36.45994,-121.89938000000001,2016-07-22
48019.0,Kern,35.6115,-118.45628,2016-06-23
46344.0,San Luis Obispo,35.70595,-120.98316000000001,2016-08-13
36274.0,San Bernardino,34.30372,-117.49342,2016-08-16
33867.0,Siskiyou,41.851000000000006,-123.118,2016-08-27
32606.0,Santa Barbara,0.0,0.0,2016-08-18
29322.0,Kern,35.7506,-118.5678,2016-08-16
12518.0,Santa Barbara,34.63445,-120.54421,2016-09-17
8110.0,San Bernardino,34.28771,-117.27338,2016-08-07
7609.0,San Diego,32.60729,-116.63028,2016-06-19
7474.0,Santa Barbara,34.775999999999996,-119.64299999999999,2016-06-15
7050.0,Fresno,36.099740000000004,-120.51057,2016-08-09
5731.0,Yolo,38.52513,-122.06788,2016-08-02
5646.0,El Dorado,38.96741,-120.9375,2016-06-28
5646.0,Placer,38.96741,-120.9375,2016-06-28
5443.0,Inyo,37.75985,-118.95308999999999,2016-09-17
5399.0,Los Angeles,0.0,0.0,2016-06-20
4824.0,Los Angeles,34.31,-118.335,2016-11-14
4474.0,Santa Clara,37.106320000000004,-121.85318000000001,2016-09-26
4347.0,Tulare,35.984,-118.551,2016-10-29
3929.0,Lake,38.89741,-122.60663999999998,2016-08-13
3876.0,Monterey,36.38123,-121.20058999999999,2016-05-22
3712.0,San Luis Obispo,0.0,0.0,2016-05-18
2944.0,Fresno,36.0749,-120.452041,2016-07-01
2860.0,Siskiyou,41.623000000000005,-123.557,2016-06-07
2819.0,Mono,0.0,0.0,2016-08-04
2652.0,Modoc,41.2649,-120.3178,2016-09-17
2575.0,Lassen,40.3915,-120.7845,2016-09-11
2520.0,Monterey,36.01542,-121.25028999999999,2016-06-04
2304.0,Ventura,34.701,-119.14399999999999,2016-06-30
2241.0,Fresno,37.01591,-119.50506999999999,2016-07-30
2100.0,Fresno,36.94536,-119.25958999999999,2016-10-11
1785.0,Kern,35.20993,-118.72272,2016-07-01
1547.0,Sonoma,38.80017,-122.82895,2016-09-25
1470.0,Riverside,0.0,0.0,2016-08-30
1246.0,Merced,37.07147,-121.20155,2016-06-25
1245.0,San Diego,33.393,-117.35093,2016-07-21
1109.0,Los Angeles,34.36763,-118.57245,2016-07-09
1080.0,Tuolumne,37.79635,-120.32484,2016-09-26
850.0,Butte,39.6871,-121.571,2016-09-05
710.0,Siskiyou,41.7813,-122.611,2016-08-24
650.0,Mono,37.97,-119.14,2016-06-25
599.0,Humboldt,41.284859999999995,-123.82268,2016-08-22
554.0,Kern,34.913000000000004,118.9082,2016-07-08
550.0,Butte,39.6708,-121.7192,2016-08-02
518.0,Kern,35.2013,-118.7212,2016-08-26
464.0,Tehama,40.0353,-122.56938999999998,2016-06-30
450.0,Calaveras,38.1874,-120.6381,2016-08-28
441.0,Shasta,40.36873,-122.72913,2016-07-08
400.0,Yuba,36.16965,-121.38775,2016-08-18
395.0,Tulare,36.1648,-118.73906000000001,2016-08-22
380.0,Modoc,41.4657,-120.9066,2016-09-11
372.0,Amador,38.385,-121.003611,2016-06-28
360.0,Tehama,40.30594,-122.1295,2016-09-13
341.0,Calaveras,38.08056,-120.81393999999999,2016-07-12
310.0,Calaveras,38.02845,-120.61153,2016-07-02
306.0,Kern,0.0,0.0,2016-09-19
304.0,Kern,35.4976,-118.5097,2016-08-28
300.0,Sutter,39.188321,-121.78003000000001,2016-09-20
278.0,Fresno,36.88286,-119.654,2016-05-25
277.0,Yolo,38.699709999999996,-122.15456999999999,2016-06-26
248.0,Plumas,39.92,-121.32,2016-09-26
237.0,San Benito,0.0,0.0,2016-06-17
221.0,Kern,35.68313,-118.21793000000001,2016-07-13
215.0,Santa Barbara,34.75134,-120.55297,2016-09-22
215.0,Lake,39.12366,-122.50373,2016-06-26
211.0,Alameda,37.74369,-121.58677,2016-06-25
210.0,Amador,38.26874,-120.90265,2016-06-17
188.0,Fresno,36.92244,-119.39618999999999,2016-07-11
176.0,El Dorado,38.934490000000004,-120.10744,2016-10-14
